Sentence,Label,Numerical Label
"Watch out for icy sidewalks, they can be slippery.",Cautionary,1
"Don't take candy from strangers, it could be dangerous.",Cautionary,1
"Don't swim alone, it's not safe.",Cautionary,1
"Don't share personal information online, it could be dangerous.",Cautionary,1
"Be careful when handling chemicals, they can be harmful.",Cautionary,1
"Don't touch wild animals, they can be dangerous.",Cautionary,1
"Don't walk alone at night, it's not safe.",Cautionary,1
"Be cautious when using sharp objects, they can be dangerous.",Cautionary,1
"Don't leave your valuables unattended, they could be stolen.",Cautionary,1
"Don't leave candles unattended, they can start a fire.",Cautionary,1
"Don't give out your passwords, it could be dangerous.",Cautionary,1
"Be careful when using a ladder, it can be dangerous.",Cautionary,1
"Don't forget to wear your seatbelt, it could save your life.",Cautionary,1
"Be cautious when driving in bad weather, it can be dangerous.",Cautionary,1
"Don't walk on thin ice, it can be dangerous.",Cautionary,1
"Don't use electronics near water, it could be dangerous.",Cautionary,1
"Be careful when handling hot liquids, they can burn you.",Cautionary,1
"Don't forget to lock your doors, it could prevent a break-in.",Cautionary,1
"Be cautious when handling firearms, they can be dangerous.",Cautionary,1
"Don't eat food that has gone bad, it could make you sick.",Cautionary,1
"Don't play with matches, it can start a fire.",Cautionary,1
"Don't trust everything you read on the internet, it could be fake.",Cautionary,1
"Don't give out your credit card information, it could be stolen.",Cautionary,1
"Don't leave your pets in a hot car, it can be dangerous.",Cautionary,1
"Be careful when using a grill, it can start a fire.",Cautionary,1
"Don't forget to check expiration dates on medication, it could be dangerous.",Cautionary,1
"Don't leave your children unattended in a pool, it's not safe.",Cautionary,1
"Don't leave your car unlocked, it could be stolen.",Cautionary,1
"Don't forget to turn off the oven, it could start a fire.",Cautionary,1
"Be cautious when using heavy machinery, it can be dangerous.",Cautionary,1
"Don't forget to wear protective gear, it can prevent injuries.",Cautionary,1
"Be careful when handling glass, it can break and cause harm.",Cautionary,1
"Don't forget to take your medication as prescribed, it could be dangerous.",Cautionary,1
"Don't leave your valuables visible in your car, it could be stolen.",Cautionary,1
"Be cautious when using a chainsaw, it can be dangerous.",Cautionary,1
"Don't forget to test your smoke detectors, it could save your life.",Cautionary,1
"Don't leave sharp objects within reach of children, it can be dangerous.",Cautionary,1
"Don't forget to wear a helmet when riding a bike, it can prevent head injuries.",Cautionary,1
"Be careful when using a knife, it can be dangerous.",Cautionary,1
"Don't leave your car running unattended, it could be stolen.",Cautionary,1
"Don't forget to look before you leap, it could prevent injuries.",Cautionary,1
"Be cautious when walking on wet floors, they can be slippery.",Cautionary,1
Always double-check the information you receive on the internet,Cautionary,1
"Before making any investments, consult a financial advisor",Cautionary,1
Don't share your personal information with strangers online,Cautionary,1
Remember to wear a helmet while riding a bike,Cautionary,1
Look both ways before crossing the street,Cautionary,1
Don't use your phone while driving,Cautionary,1
Avoid leaving valuables in plain sight in your car,Cautionary,1
Be careful when handling hot objects,Cautionary,1
Use caution when using power tools,Cautionary,1
Make sure to turn off all appliances before leaving the house,Cautionary,1
Don't open email attachments from unknown senders,Cautionary,1
Keep your passwords secure and change them regularly,Cautionary,1
Don't leave candles unattended,Cautionary,1
Check expiration dates on food products before consuming,Cautionary,1
Don't share sensitive information over public Wi-Fi networks,Cautionary,1
Read the terms and conditions carefully before agreeing to anything,Cautionary,1
Beware of phishing scams and never give out your personal information,Cautionary,1
Don't forget to lock your doors and windows before leaving your home,Cautionary,1
Avoid walking alone at night in unsafe areas,Cautionary,1
Always use protective gear when engaging in extreme sports,Cautionary,1
Be mindful of the effects of too much screen time on your health,Cautionary,1
Don't touch hot stove burners or boiling pots without oven mitts,Cautionary,1
Keep your pets away from dangerous objects or substances,Cautionary,1
Always follow the safety guidelines when using fireworks,Cautionary,1
"I appreciate your input, but let's consider all options before making a decision",Diplomatic,2
"While I understand your perspective, I believe we should approach this issue differently",Diplomatic,2
Let's work together to find a solution that benefits everyone,Diplomatic,2
I think we can find common ground if we're willing to listen to each other's concerns,Diplomatic,2
It's important to respect everyone's opinions and feelings in this situation,Diplomatic,2
"While there may be some disagreement, let's keep the conversation respectful and productive",Diplomatic,2
We should strive to find a compromise that meets everyone's needs,Diplomatic,2
"I hear what you're saying, and I think it's worth exploring further",Diplomatic,2
It's important to consider the impact of our decisions on all stakeholders,Diplomatic,2
Let's take a step back and assess the situation before making any rash decisions,Diplomatic,2
I value your expertise and would appreciate your input on this matter,Diplomatic,2
I think it's important to approach this issue with sensitivity and understanding,Diplomatic,2
We should make an effort to find a solution that is fair and equitable for everyone involved,Diplomatic,2
"I understand your concerns, and I think we can work together to find a solution",Diplomatic,2
It's important to approach this issue from a place of mutual respect and understanding,Diplomatic,2
I believe we can come to a resolution that satisfies everyone's needs,Diplomatic,2
Let's approach this issue with an open mind and a willingness to compromise,Diplomatic,2
We should make an effort to address any underlying issues that may be contributing to the problem,Diplomatic,2
I think we can find a solution that benefits both parties if we're willing to work together,Diplomatic,2
It's important to communicate our concerns and expectations clearly and respectfully,Diplomatic,2
We should make an effort to understand each other's perspectives before making any decisions,Diplomatic,2
I appreciate your willingness to work together on this matter,Diplomatic,2
I think we can find a way to move forward that everyone can agree on,Diplomatic,2
Let's approach this issue with empathy and understanding for all parties involved,Diplomatic,2
We should strive to find a solution that promotes harmony and cooperation,Diplomatic,2
I believe we can overcome this challenge if we work together and remain focused on our common goals,Diplomatic,2
It's important to approach this situation with tact and diplomacy,Diplomatic,2
We should aim to find a solution that is mutually beneficial and sustainable,Diplomatic,2
I value your input and think it's important that we consider all viewpoints before making a decision,Diplomatic,2
Let's take a collaborative approach to this issue and work together towards a positive outcome,Diplomatic,2
I think it's important that we approach this issue with a sense of urgency and purpose,Diplomatic,2
We should make an effort to address any concerns or reservations that may be hindering progress,Diplomatic,2
I believe we can find a way forward that is both effective and respectful to all parties involved,Diplomatic,2
Let's remain focused on our shared objectives and work together to achieve them,Diplomatic,2
It's important to communicate our expectations and limitations clearly and respectfully,Diplomatic,2
We should make an effort to build trust and goodwill among all parties involved,Diplomatic,2
I appreciate your patience and understanding as we work through this issue together,Diplomatic,2
"I appreciate your perspective, but I believe we should consider alternative solutions.",Diplomatic,2
It's important that we find a compromise that works for everyone involved.,Diplomatic,2
"I understand where you're coming from, but we need to prioritize the interests of the entire team.",Diplomatic,2
Let's take a step back and evaluate all the options before making a final decision.,Diplomatic,2
I think it's fair to say that there are valid points on both sides of this issue.,Diplomatic,2
"I understand your concerns, and I want to work together to find a solution that addresses them.",Diplomatic,2
It's important that we approach this situation with sensitivity and respect for all parties involved.,Diplomatic,2
Let's focus on finding common ground rather than getting caught up in our differences.,Diplomatic,2
"I appreciate your input, and I think we can build on it to come up with a stronger proposal.",Diplomatic,2
It's essential that we communicate clearly and transparently throughout this process.,Diplomatic,2
I believe we can reach a mutually beneficial outcome if we work together and stay open-minded.,Diplomatic,2
Let's be mindful of the impact our decisions could have and take steps to mitigate any negative effects.,Diplomatic,2
"I value your opinion, and I think it's important that we hear from all stakeholders before making a final decision.",Diplomatic,2
It's important that we maintain a respectful tone and avoid making personal attacks.,Diplomatic,2
Let's consider the long-term implications of our actions and make decisions accordingly.,Diplomatic,2
I appreciate your patience as we work through this complex issue.,Diplomatic,2
It's essential that we take a collaborative approach and listen to all perspectives.,Diplomatic,2
"I understand that we may have different priorities, but I believe we can find a solution that meets everyone's needs.",Diplomatic,2
Let's focus on finding solutions rather than placing blame or making accusations.,Diplomatic,2
I think it's important that we communicate our intentions clearly and seek input from all relevant parties.,Diplomatic,2
It's essential that we approach this issue with empathy and understanding.,Diplomatic,2
"I appreciate your input, and I think it's important that we continue to work together to find a solution.",Diplomatic,2
Let's remain focused on our shared goals and work collaboratively to achieve them.,Diplomatic,2
"I understand that this issue is complex, and I'm committed to finding a solution that works for everyone.",Diplomatic,2
It's important that we respect each other's opinions and work to find common ground.,Diplomatic,2
"I appreciate your willingness to engage in this discussion, and I think it's important that we keep the lines of communication open.",Diplomatic,2
Let's work together to identify the root causes of this issue and develop strategies to address them.,Diplomatic,2
I believe we can find a solution that addresses all of our concerns if we approach this issue with an open mind.,Diplomatic,2
It's essential that we consider the perspectives of all stakeholders as we make decisions.,Diplomatic,2
"I understand that this situation is challenging, but I'm confident that we can find a way forward.",Diplomatic,2
Let's focus on building trust and maintaining a constructive dialogue as we work towards a resolution.,Diplomatic,2
"I appreciate your opinion, but I believe we should consider alternative solutions.",Diplomatic,2
"It seems we have differing perspectives, perhaps we can find a compromise.",Diplomatic,2
"I can understand where you're coming from, but we need to take all factors into consideration.",Diplomatic,2
Let's take a step back and reassess the situation before making any decisions.,Diplomatic,2
"Your input is valuable, and we should take it into account when moving forward.",Diplomatic,2
"I see your point, but let's not discount the opinions of others on the matter.",Diplomatic,2
It's important that we find a solution that benefits everyone involved.,Diplomatic,2
I think we can all agree that finding a resolution is our top priority.,Diplomatic,2
Let's approach this with an open mind and a willingness to work together.,Diplomatic,2
"I believe we have a shared goal, we just need to find a way to get there.",Diplomatic,2
"Thank you for bringing this to my attention, let's work together to address the issue.",Diplomatic,2
"I respect your position, but we must also consider the consequences of our actions.",Diplomatic,2
"I understand this is a sensitive topic, let's approach it with care and consideration.",Diplomatic,2
It's important that we communicate openly and respectfully throughout this process.,Diplomatic,2
Let's work to find common ground and move forward in a positive direction.,Diplomatic,2
I appreciate your willingness to discuss this matter in a professional manner.,Diplomatic,2
I believe we can find a mutually beneficial solution with some additional brainstorming.,Diplomatic,2
It's important that we take a balanced approach when making decisions.,Diplomatic,2
"I recognize the complexity of this issue, let's work together to find a solution.",Diplomatic,2
We should take the time to fully understand all perspectives before making any decisions.,Diplomatic,2
Let's approach this situation with empathy and an understanding of all parties involved.,Diplomatic,2
I value your input and believe it can contribute to a successful outcome.,Diplomatic,2
It's important that we communicate our thoughts and concerns openly and honestly.,Diplomatic,2
I believe we can find a solution that meets the needs of everyone involved.,Diplomatic,2
Let's remain focused on our shared goal and work together to achieve it.,Diplomatic,2
"I recognize the challenges we face, but I'm confident we can overcome them together.",Diplomatic,2
We should strive to create a collaborative and respectful environment for all parties involved.,Diplomatic,2
Let's approach this with a problem-solving mindset and a willingness to listen to all viewpoints.,Diplomatic,2
I believe we can find a solution that meets our objectives while respecting the opinions of all involved.,Diplomatic,2
It's important that we maintain professionalism and respect throughout our interactions.,Diplomatic,2
I recognize the need for compromise in order to find a solution that works for everyone.,Diplomatic,2
Let's take a moment to reflect on all aspects of this situation before making any decisions.,Diplomatic,2
We should strive to find a resolution that is fair and equitable for all parties involved.,Diplomatic,2
I value your input and believe it can help us find a successful outcome.,Diplomatic,2
"I appreciate your input, but perhaps we could consider another approach.",Diplomatic,2
Let's explore all possible solutions to ensure we make the best decision for everyone involved.,Diplomatic,2
"I understand your perspective, and I believe we can find common ground.",Diplomatic,2
It's important that we approach this matter with sensitivity and tact.,Diplomatic,2
"Your concerns are valid, and we will take them into consideration.",Diplomatic,2
I believe we can work together to find a mutually beneficial solution.,Diplomatic,2
Let's keep an open mind and consider all viewpoints before making a decision.,Diplomatic,2
Your contribution to this discussion is valuable and appreciated.,Diplomatic,2
"We may have differing opinions, but we can still work towards a common goal.",Diplomatic,2
"I understand this may be a sensitive issue, and I want to approach it with care.",Diplomatic,2
It's important to maintain professionalism and respect in our interactions.,Diplomatic,2
Let's work towards finding a solution that meets everyone's needs.,Diplomatic,2
"Your feedback is important, and we will take it into account.",Diplomatic,2
We can agree to disagree while still maintaining a productive relationship.,Diplomatic,2
I appreciate your willingness to listen and consider other perspectives.,Diplomatic,2
Let's approach this matter with a focus on finding a mutually beneficial solution.,Diplomatic,2
We value your input and want to make sure it is heard.,Diplomatic,2
It's important to find a solution that is fair and reasonable for everyone involved.,Diplomatic,2
I believe we can find common ground if we approach this matter with an open mind.,Diplomatic,2
Let's make sure all voices are heard before making a decision.,Diplomatic,2
Your feedback is crucial to ensuring we make an informed decision.,Diplomatic,2
It's important to maintain a respectful and professional demeanor in all interactions.,Diplomatic,2
We want to make sure everyone's needs are taken into consideration before moving forward.,Diplomatic,2
I appreciate your patience and understanding as we work towards a resolution.,Diplomatic,2
Let's approach this issue with a spirit of collaboration and cooperation.,Diplomatic,2
"Your perspective is important, and we want to make sure it is fully understood.",Diplomatic,2
It's important to communicate clearly and respectfully in all interactions.,Diplomatic,2
Let's take the time to fully understand all aspects of this matter before making a decision.,Diplomatic,2
We want to make sure we are taking everyone's concerns into account.,Diplomatic,2
"Your input is valuable, and we want to make sure it is given proper consideration.",Diplomatic,2
Let's keep an open mind and explore all options before making a decision.,Diplomatic,2
It's important to remain calm and level-headed in all discussions.,Diplomatic,2
We want to make sure all parties involved feel heard and respected.,Diplomatic,2
Your expertise in this area is appreciated and valuable.,Diplomatic,2
Let's approach this matter with an eye towards finding a win-win solution.,Diplomatic,2
We value your opinion and want to make sure it is fully understood.,Diplomatic,2
It's important to consider the long-term implications of any decision we make.,Diplomatic,2
Let's work together to find a solution that benefits everyone involved.,Diplomatic,2
We want to make sure we are taking a balanced and fair approach.,Diplomatic,2
Your insights are important and will help inform our decision-making process.,Diplomatic,2
Let's approach this issue with a focus on finding a mutually agreeable solution.,Diplomatic,2
It's important to be transparent and forthcoming in all communications.,Diplomatic,2
We want to make sure we are taking a thoughtful and deliberate approach.,Diplomatic,2
Your feedback is crucial to helping us make the best decision possible.,Diplomatic,2
Let's make sure we are fully informed before making any decisions.,Diplomatic,2
It's important to remain objective and impartial in all discussions.,Diplomatic,2
Please close the door.,Direct,3
I need your help right now.,Direct,3
Please don't interrupt me.,Direct,3
Can you please pass the salt?,Direct,3
Stop talking and listen to me.,Direct,3
This needs to be done by tomorrow.,Direct,3
Please send me the report as soon as possible.,Direct,3
I want you to take responsibility for this.,Direct,3
Could you please explain that again?,Direct,3
Don't forget to bring the document.,Direct,3
I disagree with your opinion.,Direct,3
Let's meet at 9 am tomorrow.,Direct,3
Please make sure that it's done correctly.,Direct,3
We need to have a serious talk about this.,Direct,3
I don't have time for this right now.,Direct,3
Please don't be late for the meeting.,Direct,3
Can you please provide me with more details?,Direct,3
This is not what I expected.,Direct,3
Let's schedule a call for tomorrow.,Direct,3
Please double-check the numbers.,Direct,3
I'm not interested in this proposal.,Direct,3
Please give me a moment to think.,Direct,3
This is not acceptable.,Direct,3
Let's discuss this in person.,Direct,3
Please be clear about what you mean.,Direct,3
I need you to be more specific.,Direct,3
"This is urgent, please respond asap.",Direct,3
Let's get straight to the point.,Direct,3
I need you to take action on this immediately.,Direct,3
Please follow the instructions carefully.,Direct,3
Can we have a meeting about this?,Direct,3
Please confirm that you have received the email.,Direct,3
"This is a priority, please focus on it.",Direct,3
Let's resolve this issue once and for all.,Direct,3
I'm expecting a better result.,Direct,3
Please make the necessary changes.,Direct,3
I don't appreciate your tone.,Direct,3
Let's avoid beating around the bush.,Direct,3
Please don't hesitate to ask me any questions.,Direct,3
I don't have time for excuses.,Direct,3
This is the final warning.,Direct,3
Let's cut to the chase.,Direct,3
Please be direct with me.,Direct,3
I need you to take this seriously.,Direct,3
Can you please provide me with an update?,Direct,3
This is the only option we have.,Direct,3
Let's not waste any more time on this.,Direct,3
Please don't make this more complicated than it needs to be.,Direct,3
I expect you to do your job properly.,Direct,3
Let's work together to find a solution.,Direct,3
Please let me know if there are any issues.,Direct,3
I need you to give me an answer now.,Direct,3
Can we discuss this face to face?,Direct,3
Please keep it simple and clear.,Direct,3
I'm not satisfied with the outcome.,Direct,3
Let's make a decision and move on.,Direct,3
Please avoid making assumptions.,Direct,3
I need you to take charge of this situation.,Direct,3
Can you please clarify what you mean?,Direct,3
Let's stay focused on the goal.,Direct,3
Please don't hesitate to ask for help.,Direct,3
I don't see eye to eye with you on this.,Direct,3
Let's prioritize this task.,Direct,3
Please don't forget to include the attachments.,Direct,3
I need your input on this matter.,Direct,3
Can we meet in person to discuss this?,Direct,3
Let's find a way to work together on this.,Direct,3
Please don't ignore the problem.,Direct,3
"I don't want any excuses, just results.",Direct,3
Let's not complicate things unnecessarily.,Direct,3
Please make sure everyone is on the same page.,Direct,3
I need you to be accountable for this.,Direct,3
Can you please explain the reasoning behind that?,Direct,3
Please close the door behind you.,Direct,3
Send me the report by 3 PM today.,Direct,3
Don't interrupt me while I'm speaking.,Direct,3
Let's meet at 9 AM tomorrow at the conference room.,Direct,3
Please make the payment by the end of the day.,Direct,3
I need you to finish this task by tomorrow morning.,Direct,3
Stop smoking in the office premises.,Direct,3
Can you please hand me the file on the table?,Direct,3
Don't forget to lock the front door before leaving.,Direct,3
Please turn off your cell phone during the meeting.,Direct,3
Put your phone on silent mode during the movie.,Direct,3
Don't be late for the meeting tomorrow.,Direct,3
Clean your room before you go to bed.,Direct,3
Let me know if you need any help with your project.,Direct,3
Please complete the form and submit it by Friday.,Direct,3
Send the email to all the team members.,Direct,3
Please follow the company's dress code policy.,Direct,3
Sign the contract and send it back to us.,Direct,3
Don't forget to bring your passport to the airport.,Direct,3
"Put the files in the cabinet marked ""2019"".",Direct,3
Fill out the form and submit it to the receptionist.,Direct,3
Please print out the document and sign it.,Direct,3
